Code de la région;Libellé de la région;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp
44;Grand Est;F;ARTHAUD;Nathalie;18658;0,48;0,67
75;Nouvelle-Aquitaine;F;ARTHAUD;Nathalie;18497;0,41;0,54
84;Auvergne-Rhône-Alpes;F;ARTHAUD;Nathalie;23137;0,42;0,55
27;Bourgogne-Franche-Comté;F;ARTHAUD;Nathalie;10642;0,53;0,71
53;Bretagne;F;ARTHAUD;Nathalie;12965;0,51;0,66
24;Centre-Val de Loire;F;ARTHAUD;Nathalie;9256;0,5;0,69
11;Île-de-France;F;ARTHAUD;Nathalie;21903;0,3;0,4
76;Occitanie;F;ARTHAUD;Nathalie;14885;0,34;0,45
32;Hauts-de-France;F;ARTHAUD;Nathalie;20977;0,49;0,69
28;Normandie;F;ARTHAUD;Nathalie;12839;0,53;0,72
52;Pays de la Loire;F;ARTHAUD;Nathalie;13861;0,49;0,65
93;Provence-Alpes-Côte d'Azur;F;ARTHAUD;Nathalie;9473;0,26;0,36
94;Corse;F;ARTHAUD;Nathalie;455;0,19;0,31
1;Guadeloupe;F;ARTHAUD;Nathalie;1084;0,34;0,8
2;Martinique;F;ARTHAUD;Nathalie;1447;0,48;1,18
3;Guyane;F;ARTHAUD;Nathalie;297;0,29;0,83
4;La Réunion;F;ARTHAUD;Nathalie;3538;0,52;1,02
6;Mayotte;F;ARTHAUD;Nathalie;430;0,47;1,23
44;Grand Est;M;ROUSSEL;Fabien;47422;1,23;1,7
75;Nouvelle-Aquitaine;M;ROUSSEL;Fabien;96800;2,17;2,83
84;Auvergne-Rhône-Alpes;M;ROUSSEL;Fabien;96418;1,73;2,28
27;Bourgogne-Franche-Comté;M;ROUSSEL;Fabien;33931;1,7;2,27
53;Bretagne;M;ROUSSEL;Fabien;51193;2;2,59
24;Centre-Val de Loire;M;ROUSSEL;Fabien;33588;1,83;2,5
11;Île-de-France;M;ROUSSEL;Fabien;105175;1,43;1,92
76;Occitanie;M;ROUSSEL;Fabien;83483;1,93;2,52
32;Hauts-de-France;M;ROUSSEL;Fabien;94831;2,23;3,11
28;Normandie;M;ROUSSEL;Fabien;46358;1,92;2,6
52;Pays de la Loire;M;ROUSSEL;Fabien;45056;1,59;2,12
93;Provence-Alpes-Côte d'Azur;M;ROUSSEL;Fabien;54730;1,49;2,06
94;Corse;M;ROUSSEL;Fabien;4553;1,87;3,08
1;Guadeloupe;M;ROUSSEL;Fabien;668;0,21;0,49
2;Martinique;M;ROUSSEL;Fabien;747;0,25;0,61
3;Guyane;M;ROUSSEL;Fabien;246;0,24;0,69
4;La Réunion;M;ROUSSEL;Fabien;3074;0,46;0,89
6;Mayotte;M;ROUSSEL;Fabien;206;0,22;0,59
44;Grand Est;M;MACRON;Emmanuel;762259;19,73;27,28
75;Nouvelle-Aquitaine;M;MACRON;Emmanuel;945330;21,18;27,63
84;Auvergne-Rhône-Alpes;M;MACRON;Emmanuel;1175064;21,14;27,75
27;Bourgogne-Franche-Comté;M;MACRON;Emmanuel;394120;19,78;26,32
