Code de la région;Libellé de la région;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot
44;Grand Est;Complet;3862884;1008217;26,1;2854667;73,9;42182;1,09;1,48;18665;0,48;0,65;2793820;72,32;97,87
75;Nouvelle-Aquitaine;Complet;4463031;962488;21,57;3500543;78,43;53355;1,2;1,52;26378;0,59;0,75;3420810;76,65;97,72
84;Auvergne-Rhône-Alpes;Complet;5557423;1228602;22,11;4328821;77,89;69562;1,25;1,61;25515;0,46;0,59;4233744;76,18;97,8
27;Bourgogne-Franche-Comté;Complet;1992408;456672;22,92;1535736;77,08;26271;1,32;1,71;11774;0,59;0,77;1497691;75,17;97,52
53;Bretagne;Complet;2562082;543435;21,21;2018647;78,79;31867;1,24;1,58;13264;0,52;0,66;1973516;77,03;97,76
24;Centre-Val de Loire;Complet;1837324;459538;25,01;1377786;74,99;23107;1,26;1,68;9424;0,51;0,68;1345255;73,22;97,64
11;Île-de-France;Complet;7349253;1760731;23,96;5588522;76,04;76598;1,04;1,37;26209;0,36;0,47;5485715;74,64;98,16
76;Occitanie;Complet;4323868;940488;21,75;3383380;78,25;47631;1,1;1,41;23690;0,55;0,7;3312059;76,6;97,89
32;Hauts-de-France;Complet;4255350;1146209;26,94;3109141;73,06;42994;1,01;1,38;21415;0,5;0,69;3044732;71,55;97,93
28;Normandie;Complet;2413801;590836;24,48;1822965;75,52;28659;1,19;1,57;10852;0,45;0,6;1783454;73,89;97,83
52;Pays de la Loire;Complet;2832899;652103;23,02;2180796;76,98;38855;1,37;1,78;14622;0,52;0,67;2127319;75,09;97,55
93;Provence-Alpes-Côte d'Azur;Complet;3663891;959596;26,19;2704295;73,81;35867;0,98;1,33;14214;0,39;0,53;2654214;72,44;98,15
94;Corse;Complet;243049;90643;37,29;152406;62,71;2475;1,02;1,62;1994;0,82;1,31;147937;60,87;97,07
1;Guadeloupe;Complet;316023;174592;55,25;141431;44,75;2719;0,86;1,92;3627;1,15;2,56;135085;42,75;95,51
2;Martinique;Complet;304594;174588;57,32;130006;42,68;4001;1,31;3,08;3056;1;2,35;122949;40,36;94,57
3;Guyane;Complet;102993;65754;63,84;37239;36,16;825;0,8;2,22;553;0,54;1,49;35861;34,82;96,3
4;La Réunion;Complet;675539;313159;46,36;362380;53,64;7359;1,09;2,03;8255;1,22;2,28;346766;51,33;95,69
6;Mayotte;Complet;92187;55023;59,69;37164;40,31;923;1;2,48;1190;1,29;3,2;35051;38,02;94,31
