Code de la région;Libellé de la région;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp
44;Grand Est;M;MACRON;Emmanuel;1372526;35,52;52,07
75;Nouvelle-Aquitaine;M;MACRON;Emmanuel;1768081;39,62;58,33
84;Auvergne-Rhône-Alpes;M;MACRON;Emmanuel;2253507;40,54;59,76
27;Bourgogne-Franche-Comté;M;MACRON;Emmanuel;714587;35,86;52,87
53;Bretagne;M;MACRON;Emmanuel;1202339;46,92;66,58
24;Centre-Val de Loire;M;MACRON;Emmanuel;706528;38,45;56,44
11;Île-de-France;M;MACRON;Emmanuel;3496396;47,55;73,01
76;Occitanie;M;MACRON;Emmanuel;1574375;36,41;53,96
32;Hauts-de-France;M;MACRON;Emmanuel;1384151;32,52;47,86
28;Normandie;M;MACRON;Emmanuel;936550;38,79;55,84
52;Pays de la Loire;M;MACRON;Emmanuel;1281656;45,23;64,92
93;Provence-Alpes-Côte d'Azur;M;MACRON;Emmanuel;1214177;33,13;49,52
94;Corse;M;MACRON;Emmanuel;56111;23,09;41,92
1;Guadeloupe;M;MACRON;Emmanuel;40229;12,73;30,4
2;Martinique;M;MACRON;Emmanuel;46918;15,4;39,13
3;Guyane;M;MACRON;Emmanuel;14073;13,66;39,3
4;La Réunion;M;MACRON;Emmanuel;147270;21,78;40,43
6;Mayotte;M;MACRON;Emmanuel;15707;17;40,9
44;Grand Est;F;LE PEN;Marine;1263534;32,7;47,93
75;Nouvelle-Aquitaine;F;LE PEN;Marine;1263134;28,3;41,67
84;Auvergne-Rhône-Alpes;F;LE PEN;Marine;1517277;27,29;40,24
27;Bourgogne-Franche-Comté;F;LE PEN;Marine;636969;31,97;47,13
53;Bretagne;F;LE PEN;Marine;603518;23,55;33,42
24;Centre-Val de Loire;F;LE PEN;Marine;545289;29,67;43,56
11;Île-de-France;F;LE PEN;Marine;1292285;17,57;26,99
76;Occitanie;F;LE PEN;Marine;1343133;31,06;46,04
32;Hauts-de-France;F;LE PEN;Marine;1507799;35,42;52,14
28;Normandie;F;LE PEN;Marine;740573;30,67;44,16
52;Pays de la Loire;F;LE PEN;Marine;692633;24,44;35,08
93;Provence-Alpes-Côte d'Azur;F;LE PEN;Marine;1237813;33,78;50,48
94;Corse;F;LE PEN;Marine;77732;31,99;58,08
1;Guadeloupe;F;LE PEN;Marine;92106;29,15;69,6
2;Martinique;F;LE PEN;Marine;73000;23,96;60,87
3;Guyane;F;LE PEN;Marine;21734;21,09;60,7
4;La Réunion;F;LE PEN;Marine;217021;32,1;59,57
6;Mayotte;F;LE PEN;Marine;22694;24,56;59,1
